Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,Downward Movement w/ Gravity (in),Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),Movement Toward/Away from Batter (in),BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),PX (ft),PZ (ft),EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
"Lawrence, Casey RHP",2517,2517,100.0,727,672,566,199,117,43,5,34,108,14.9,48,6.6,252,"1,242",34.8,8.0 ARM,5.1,0.2 AWY,.296,.279,.347,.331,.527,.449,.373,.338,41,.310,.231,20.3,83.0,82.6,"2,108",5.19,-2.93,6.0,-0.21,2.03,86.9,91.6,11,144,33.6,7.2,5.6
"Pannone, Thomas LHP",2470,2470,100.0,642,593,461,158,99,35,4,20,136,21.2,38,5.9,282,"1,229",33.4,2.2 GLV,6.3,0.4 TWD,.266,.231,.316,.283,.440,.368,.327,.285,35,.313,.174,22.9,83.6,83.9,"2,339",5.49,2.24,6.3,-0.01,2.31,86.1,90.8,12,143,29.7,7.6,5.5
"McGreevy, Michael RHP STL #10",2443,2443,100.0,638,588,454,152,100,33,5,14,138,21.6,44,6.9,264,"1,196",29.9,4.1 ARM,5.3,1.1 AWY,.259,.239,.311,.293,.403,.354,.311,.285,19,.315,.145,22.1,88.4,89.0,"2,243",5.83,-2.62,6.6,-0.02,2.38,84.8,90.7,7,145,31.3,4.2,3.0
"Kauffmann, Karl RHP",2436,2436,100.0,638,545,484,194,112,43,5,34,74,11.6,76,11.9,241,"1,098",28.7,5.3 ARM,6.5,0.3 AWY,.356,.294,.433,.381,.640,.462,.451,.368,32,.360,.284,21.9,87.8,88.6,"2,180",5.59,-1.96,6.4,-0.05,2.12,88.2,92.2,11,151,40.3,6.6,5.0
"Barclay, Edgar LHP",2428,2428,100.0,648,567,453,150,84,35,1,30,118,18.2,70,10.8,329,"1,208",27.2,7.2 ARM,11.4,4.5 AWY,.265,.270,.351,.357,.489,.469,.362,.359,45,.284,.224,27.2,84.6,84.4,"1,951",5.80,1.66,6.1,0.23,2.42,87.9,91.4,16,164,35.5,9.9,6.9
"Gusto, Ryan RHP",2357,2357,100.0,623,558,422,135,96,22,3,14,141,22.6,53,8.5,286,"1,193",28.7,1.8 ARM,7.5,2.4 AWY,.242,.228,.313,.304,.367,.339,.301,.288,20,.297,.125,24.0,87.4,87.8,"2,201",5.80,-1.97,6.5,-0.01,2.45,86.1,90.8,16,165,32.9,4.7,3.2
"Vasil, Mike RHP",2332,2332,100.0,607,532,431,155,99,29,3,24,109,18.0,52,8.6,238,"1,089",31.2,3.6 ARM,4.7,0.2 AWY,.291,.238,.365,.320,.492,.366,.369,.305,27,.323,.201,21.9,87.7,87.4,"2,262",6.02,-1.49,6.0,0.00,2.44,87.5,91.4,9,141,34.6,6.3,4.4
"Hamel, Dom RHP NYM #15",2320,2320,100.0,582,494,376,141,86,30,2,23,124,21.3,77,13.2,252,"1,051",27.9,1.2 ARM,8.8,2.7 AWY,.285,.245,.384,.350,.494,.401,.379,.332,31,.335,.209,24.0,87.0,87.4,"2,388",5.87,-1.45,6.5,0.07,2.36,88.4,91.2,17,173,36.4,8.2,5.3
"Dobnak, Randy RHP",2313,2313,100.0,591,514,384,130,88,27,1,14,134,22.7,63,10.7,304,"1,022",38.8,5.3 ARM,-1.7,1.0 AWY,.253,.239,.343,.332,.391,.365,.325,.312,28,.314,.138,29.7,86.1,84.8,"1,966",5.56,-2.03,5.4,0.04,2.05,88.0,91.8,2,117,38.3,7.3,4.7
"Sampson, Adrian RHP",2313,2313,100.0,637,570,459,174,107,42,6,19,120,18.8,46,7.2,264,"1,144",28.1,9.7 ARM,8.0,0.8 AWY,.305,.269,.365,.336,.500,.425,.371,.333,26,.353,.195,23.1,87.2,87.6,"2,038",5.68,-2.75,6.4,-0.12,2.26,87.9,91.6,12,158,37.3,5.7,4.1
