Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,Downward Movement w/ Gravity (in),Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),Movement Toward/Away from Batter (in),BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),PX (ft),PZ (ft),EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Groome, Jay LHP",2660,2660,100.0,668,547,416,171,107,35,4,25,136,20.4,112,16.8,271,"1,144",28.5,4.3 ARM,8.0,1.5 AWY,.313,.244,.430,.374,.528,.382,.413,.341,28,.374,.216,23.7,86.6,87.5,"1,988",6.00,2.20,6.5,-0.15,2.47,86.7,91.2,14,160,32.7,6.7,4.2,2023
"Walston, Blake LHP AZ #26",2600,2600,100.0,665,560,460,142,99,32,2,9,104,15.6,92,13.8,271,"1,209",29.9,3.5 ARM,7.2,2.2 AWY,.254,.244,.367,.360,.366,.386,.330,.334,27,.296,.113,22.4,86.1,86.1,"2,057",6.07,2.53,6.1,-0.10,2.37,87.8,91.3,16,164,33.9,5.9,4.1,2023
"Spence, Mitch RHP",2564,2564,100.0,702,637,489,162,105,25,2,30,152,21.7,53,7.5,358,"1,238",33.4,5.2 GLV,2.9,0.2 AWY,.254,.234,.318,.300,.441,.374,.327,.296,32,.288,.187,28.9,87.2,87.5,"2,520",6.02,-2.75,6.4,0.14,2.05,88.5,91.9,8,133,41.1,6.5,4.6,2023
"Dugger, Robert RHP",2391,2391,100.0,632,568,426,149,104,26,1,18,143,22.6,60,9.5,321,"1,156",32.8,5.7 ARM,5.0,0.8 AWY,.262,.248,.335,.324,.407,.384,.325,.315,26,.321,.144,27.8,85.6,85.6,"2,028",5.06,-1.96,6.1,-0.10,2.11,87.6,91.4,13,143,38.0,6.1,4.1,2023
"Boushley, Caleb RHP",2313,2313,100.0,581,518,415,136,86,26,6,18,110,18.9,51,8.8,237,"1,029",31.2,2.4 ARM,7.5,0.4 AWY,.263,.255,.331,.325,.440,.395,.332,.317,23,.298,.178,23.0,84.7,84.3,"2,162",5.91,-1.28,5.9,-0.10,2.32,88.1,91.4,13,156,37.1,5.5,4.0,2023
"Espinoza, Anderson RHP",2312,2312,100.0,606,518,407,148,89,34,8,17,116,19.1,73,12.0,214,"1,031",30.6,3.4 ARM,4.5,1.5 TWD,.286,.256,.382,.358,.481,.412,.373,.341,32,.337,.195,20.8,88.4,88.6,"1,945",5.95,-2.60,6.2,-0.16,2.32,86.6,91.4,12,153,37.8,7.9,5.3,2023
"Gasser, Robert LHP MIL #6",2307,2307,100.0,591,520,361,123,79,29,3,12,165,27.9,50,8.5,290,"1,132",27.8,2.1 ARM,8.0,2.0 AWY,.237,.224,.319,.310,.373,.330,.305,.289,17,.319,.137,25.6,87.8,88.4,"2,221",4.98,2.04,6.6,-0.17,2.59,87.0,91.0,18,166,31.9,4.7,2.9,2023
"McKendry, Evan RHP",2302,2302,100.0,595,536,412,125,71,25,2,27,130,21.8,46,7.7,293,"1,148",31.3,5.9 ARM,7.2,0.3 TWD,.233,.228,.299,.295,.438,.388,.316,.298,29,.255,.205,25.5,84.8,85.1,"2,014",5.10,-2.28,6.3,-0.08,2.27,86.4,90.8,15,158,32.0,7.0,4.9,2023
"Kalish, Jake LHP",2301,2301,100.0,637,565,470,178,108,37,3,30,103,16.2,55,8.6,220,"1,059",36.3,2.2 ARM,5.3,2.2 AWY,.315,.263,.381,.336,.550,.430,.395,.334,33,.337,.235,20.8,81.5,82.7,"2,166",5.40,1.64,6.8,-0.11,2.36,86.0,91.5,12,157,34.0,7.0,5.2,2023
"Criswell, Jeff RHP",2295,2295,100.0,566,488,358,140,76,27,5,32,134,23.7,69,12.2,285,"1,078",26.8,6.6 ARM,8.4,1.6 AWY,.287,.227,.378,.327,.559,.388,.396,.316,29,.331,.273,26.4,88.3,88.9,"2,197",5.68,-1.92,6.4,0.11,2.40,88.6,91.2,18,176,36.9,8.1,5.1,2023
